particle_id,area_pixels,area_um2,diameter_um,overlap_area_pixels,overlap_area_um2,overlap_percentage,has_fluorescence,centroid_x,centroid_y,centroid_x_um,centroid_y_um
371,1470.0,17.623575017107502,4.736985605993325,1470,17.623575017107502,100.0,True,817.3891156462585,549.874149659864,89.4987951340136,60.20764520578232
372,471.0,5.64673730139975,2.6813521273553906,0,0.0,0.0,False,573.1698513800425,556.8301486199575,62.758373122080684,60.96928187791932
373,307.0,3.6805697484707505,2.164774110827481,0,0.0,0.0,False,756.1205211726384,563.2475570032574,82.79028228501629,61.67194638273617
374,19.0,0.22778770430275003,0.538542767960634,0,0.0,0.0,False,998.2105263157895,565.8947368421053,109.29756426315791,61.961795368421065
375,39.0,0.46756423514775003,0.7715706538574195,0,0.0,0.0,False,186.48717948717947,565.8717948717949,20.41913398717949,61.95928337179488
376,180.0,2.1579887776050004,1.6575996647988867,0,0.0,0.0,False,925.4888888888889,562.2555555555556,101.33501765555557,61.56332867222223
377,5245.0,62.88139521410125,8.94779743929835,0,0.0,0.0,False,1174.7502383222115,577.8030505243089,128.62751521973308,63.26567831258342
378,67.0,0.8032513783307501,1.0113018437903376,0,0.0,0.0,False,933.820895522388,563.2089552238806,102.2473182238806,61.66771973880597
379,188.0,2.253899389943,1.6940347791972532,0,0.0,0.0,False,990.0425531914893,566.9521276595744,108.40322429787234,62.077572789893615
380,740.0,8.871731641265,3.3609283770911853,0,0.0,0.0,False,570.3175675675676,575.3662162162162,62.446066584459466,62.998860795270275
381,777.0,9.315318223328251,3.443926760796987,777,9.315318223328251,100.0,True,813.2110682110682,571.8854568854568,89.04132609716861,62.617740273487776
382,21.0,0.25176535738725003,0.5661780718288442,0,0.0,0.0,False,746.0,570.2380952380952,81.682151,62.43736488095238
383,204.0,2.4457206146190003,1.764649597485829,204,2.4457206146190003,100.0,True,655.7107843137255,572.8725490196078,71.7960687622549,62.72582044607844
384,168.0,2.0141228590980003,1.6013934157971994,0,0.0,0.0,False,936.172619047619,571.3809523809524,102.50481666369048,62.56250030952382
385,74.0,0.8871731641265,1.0628188724301422,0,0.0,0.0,False,177.74324324324326,573.0135135135135,19.461729804054055,62.7412551418919
386,13.0,0.15585474504925,0.4454665247033967,0,0.0,0.0,False,745.0,573.0,81.5726575,62.73977550000001
387,197.0,2.3617988288232503,1.7341094733513671,0,0.0,0.0,False,983.5989847715736,577.0913705583756,107.6976954390863,63.1877539822335
388,275.0,3.2969272991187504,2.04884802104863,0,0.0,0.0,False,942.9345454545454,581.52,103.24520365272727,63.67266012
389,319.0,3.82443566697775,2.206676851623651,0,0.0,0.0,False,719.2789968652038,576.8213166144201,78.7563748432602,63.15818483072101
390,55.0,0.6593854598237501,0.9162726901261313,0,0.0,0.0,False,728.4909090909091,579.8909090909091,79.76501935454546,63.49428525454546
391,56.0,0.671374286366,0.9245649196890073,0,0.0,0.0,False,732.3214285714286,577.8392857142857,80.18443633928572,63.26964583035714
392,136.0,1.6304804097460002,1.4408303628826673,0,0.0,0.0,False,1160.3308823529412,604.0882352941177,127.04868946691178,66.14373519117648
